"","state","abbreviation","meanrat_com","meanrat_medicaid","meanrat_medicare","meanrat_overall"
"1","wisconsin","WI",4.15,3.75,3.875,3.98809523809524
"2","pennsylvania","PA",4.125,3.88888888888889,3.675,3.89795918367347
"3","massachusetts","MA",4,4,3.75,3.90909090909091
"4","minnesota","MN",3.92307692307692,4.125,4,3.98
"5","rhode island","RI",3.83333333333333,4.5,3.5,3.80769230769231
"6","iowa","IA",3.75,3.5,3.81818181818182,3.77083333333333
"7","hawaii","HI",3.7,3.5,3.33333333333333,3.47368421052632
"8","new york","NY",3.7,3.85714285714286,3.95,3.82978723404255
"9","maryland","MD",3.66666666666667,4,3.77777777777778,3.76470588235294
"10","california","CA",3.61764705882353,3.22727272727273,3.55,3.5
"11","virginia","VA",3.60526315789474,3.4,3.45833333333333,3.52777777777778
"12","new hampshire","NH",3.55555555555556,4.25,3.75,3.70588235294118
"13","connecticut","CT",3.5,NA,3.6875,3.57142857142857
"14","maine","ME",3.5,NA,3.92857142857143,3.7
"15","michigan","MI",3.5,3.54545454545455,3.325,3.43181818181818
"16","north dakota","ND",3.5,NA,4,3.58333333333333
"17","vermont","VT",3.5,NA,3.9,3.68181818181818
"18","colorado","CO",3.46153846153846,3,3.79166666666667,3.57407407407407
"19","south dakota","SD",3.41666666666667,NA,3.5,3.44444444444444
"20","washington","WA",3.4,3.4,3.78125,3.56944444444444
"21","oregon","OR",3.35,3.5,3.44736842105263,3.41666666666667
"22","ohio","OH",3.32142857142857,3.5,3.55,3.46153846153846
"23","north carolina","NC",3.3125,NA,3.42307692307692,3.38095238095238
"24","new jersey","NJ",3.30769230769231,3,3.40909090909091,3.29310344827586
"25","illinois","IL",3.3,3.08333333333333,3.5,3.36585365853659
"26","florida","FL",3.28125,3.22727272727273,3.75,3.46808510638298
"27","tennessee","TN",3.27777777777778,3.2,3.55,3.3448275862069
"28","georgia","GA",3.17857142857143,3.16666666666667,3.28571428571429,3.2258064516129
"29","nebraska","NE",3.16666666666667,4,3.44444444444444,3.375
"30","arizona","AZ",3.15,NA,3.3125,3.25
"31","missouri","MO",3.14285714285714,3,3.42857142857143,3.26666666666667
"32","delaware","DE",3.125,3.5,3.5,3.3125
"33","idaho","ID",3.11111111111111,NA,3.45454545454545,3.3
"34","utah","UT",3.11111111111111,3.75,3.6,3.4047619047619
"35","louisiana","LA",3.0625,3.1,3.36363636363636,3.20833333333333
"36","kansas","KS",2.95454545454545,3.5,3.53846153846154,3.2962962962963
"37","kentucky","KY",2.9,3.2,3.41666666666667,3.18518518518519
"38","west virginia","WV",2.9,3.25,3.4,3.23684210526316
"39","texas","TX",2.86666666666667,3.05,3.45,3.16666666666667
"40","indiana","IN",2.8125,3.33333333333333,3.4375,3.15789473684211
"41","alabama","AL",2.8,NA,3.5,3.25
"42","montana","MT",2.7,NA,3.5,3
"43","oklahoma","OK",2.66666666666667,NA,3.5,3.16666666666667
"44","nevada","NV",2.65,3,3.5625,3.05
"45","new mexico","NM",2.625,2.875,3.25,2.925
"46","south carolina","SC",2.58333333333333,3.4,3.11111111111111,3.025
"47","alaska","AK",2.5,NA,3.75,3
"48","arkansas","AR",2.5,NA,3.18181818181818,3
"49","mississippi","MS",2.5,2.75,3.3125,2.96666666666667
"50","wyoming","WY",2.16666666666667,NA,4,2.625
