"","state","abbreviation","meanrat_com","meanrat_medicaid","meanrat_medicare","meanrat_overall"
"1","massachusetts","MA",4.3125,4,3.89285714285714,4.09722222222222
"2","pennsylvania","PA",4.275,3.6875,3.825,3.98958333333333
"3","wisconsin","WI",4.15,3.25,3.97368421052632,3.95555555555556
"4","maine","ME",4.07142857142857,NA,3.88888888888889,3.96875
"5","new hampshire","NH",4.05555555555556,3.75,3.71428571428571,3.88888888888889
"6","north dakota","ND",4,NA,3.75,3.875
"7","minnesota","MN",3.94444444444444,4,3.9375,3.95
"8","vermont","VT",3.9375,NA,4.08333333333333,4
"9","hawaii","HI",3.9,3.07142857142857,3.45454545454545,3.43478260869565
"10","new york","NY",3.9,3.8125,3.975,3.91666666666667
"11","rhode island","RI",3.8125,4.5,3.66666666666667,3.84375
"12","michigan","MI",3.64285714285714,3.73076923076923,3.8125,3.73255813953488
"13","ohio","OH",3.63333333333333,3.3,3.63157894736842,3.58974358974359
"14","connecticut","CT",3.5,NA,3.5625,3.52380952380952
"15","maryland","MD",3.5,3.83333333333333,3.55555555555556,3.57352941176471
"16","virginia","VA",3.5,3.3,3.36111111111111,3.41463414634146
"17","california","CA",3.475,2.81818181818182,3.45,3.32352941176471
"18","iowa","IA",3.43333333333333,4,3.67857142857143,3.56666666666667
"19","colorado","CO",3.42307692307692,3.5,3.53571428571429,3.48275862068966
"20","illinois","IL",3.35,2.75,3.8,3.5
"21","tennessee","TN",3.29166666666667,3.35714285714286,3.46666666666667,3.38235294117647
"22","florida","FL",3.28947368421053,3.21428571428571,3.875,3.53260869565217
"23","north carolina","NC",3.27777777777778,NA,3.34375,3.32
"24","new jersey","NJ",3.26666666666667,3.33333333333333,3.6,3.39285714285714
"25","south dakota","SD",3.2,NA,3.7,3.45
"26","west virginia","WV",3.2,3.33333333333333,3.45454545454545,3.36842105263158
"27","arizona","AZ",3.16666666666667,NA,3.525,3.390625
"28","missouri","MO",3.11764705882353,3,3.55,3.33333333333333
"29","washington","WA",3.11764705882353,3.5,3.4,3.28205128205128
"30","idaho","ID",3.1,NA,3.5,3.31818181818182
"31","oregon","OR",3.09090909090909,NA,3.45,3.32258064516129
"32","indiana","IN",3.04166666666667,3.66666666666667,3.0625,3.11290322580645
"33","delaware","DE",3,3,3.35714285714286,3.13888888888889
"34","georgia","GA",3,3.33333333333333,3.11764705882353,3.08823529411765
"35","nebraska","NE",3,3.33333333333333,3.45454545454545,3.26086956521739
"36","texas","TX",3,3.375,3.45,3.26923076923077
"37","south carolina","SC",2.9375,2.9,3.16666666666667,3.04
"38","utah","UT",2.92857142857143,3.5,3.27272727272727,3.175
"39","kentucky","KY",2.86363636363636,3.1,3.5,3.18965517241379
"40","nevada","NV",2.83333333333333,3,3.33333333333333,3.08
"41","wyoming","WY",2.83333333333333,NA,3.75,3.2
"42","kansas","KS",2.76666666666667,2.5,3.67857142857143,3.18333333333333
"43","louisiana","LA",2.75,3,3.375,3.05882352941176
"44","alabama","AL",2.625,NA,3.44444444444444,3.19230769230769
"45","oklahoma","OK",2.58333333333333,NA,3.29166666666667,3.05555555555556
"46","alaska","AK",2.5,NA,3.75,3.125
"47","arkansas","AR",2.5,NA,2.96875,2.82608695652174
"48","mississippi","MS",2.33333333333333,2.5,3.3,2.88888888888889
"49","new mexico","NM",2.3125,3,3.14285714285714,2.86
"50","montana","MT",2.3,NA,3.66666666666667,2.8125
